date,fundvalue,benchmarkvalue,timing_position_ratio,alpha_position_ratio,alpha_stock,deposit,cash
2008-05-27,1.132583432540258,1.2091786107061104,0.0,0.5178392550361005,9785772.0296737552,965573.9868164062,11900322.634314999
2008-05-28,1.1306007987511768,1.2391339392224225,0.0,0.5319611998583791,10032848.231421631,992582.0947265625,11586585.648875346
2008-05-29,1.1346441263609364,1.2185033799153857,0.0,0.5244353329672353,9940104.0659160763,966834.931640625,11785943.529662024
2008-05-30,1.1317494144541085,1.2299345510820388,0.0,0.5234797345980947,9885362.3100963328,975059.12109375,11774566.857892087
2008-06-02,1.1341345389742705,1.2391375215386766,0.0,0.556290237121858,10581077.555625429,978974.12109375,11122639.102766234
2008-06-03,1.1365695017886557,1.231027157539522,0.0,0.5431901684011159,10337870.775017397,975809.7290039062,11417709.53175181
2008-06-04,1.1397914016010846,1.2072083367663864,0.0,0.5351587394956197,10219743.833153989,957668.37890625,11618415.819961451
2008-06-05,1.1400191682723588,1.200667027286503,0.0,0.5262185102520078,10045187.269767437,948277.7709960938,11806918.324683649
2008-06-06,1.1406037361369836,1.1927930961601154,0.0,0.5211464418305619,9951151.4295715299,942165.0,11918758.293168146
2008-06-10,1.1349413476080559,1.1006057696785587,0.0,0.4970097172969892,9468878.5005877838,865771.2158203125,12364177.235753024
2008-06-11,1.1246638593025788,1.0833784108128635,0.0,0.530483109838252,9991103.2886018269,942090.0146484375,11560083.882801311
2008-06-12,1.1310789673717005,1.059480779082139,0.0,0.5254878857337482,9965433.5803614277,925388.96484375,11730756.802228833
2008-06-13,1.1229325945520165,1.0276948869600107,0.0,0.5424304925818544,10181043.608463207,983109.638671875,11294498.643905252
2008-06-16,1.1157351063780774,1.0295935145746538,0.0,0.543367070129947,10137122.83554388,974239.1967773438,11203340.095240325
2008-06-17,1.1015791655166847,1.0011678350988182,0.0,0.5147919826690579,9457816.4329307284,938084.3774414062,11635682.499961555
2008-06-18,1.1018597658616551,1.0536021981092536,0.0,0.5607238863407127,10336056.996257262,987119.1064453125,10714019.214530529
2008-06-19,1.0905635773021232,0.9847321681252664,0.0,0.5153439709042887,9386537.1483890899,915116.42578125,11509617.971872127
2008-06-20,1.0808731739022013,1.0144188229225253,0.0,0.5766734556058288,10400305.630401315,1025881.171875,10191276.675767709
2008-06-23,1.083670189700699,0.9888697433986868,0.0,0.5352929723279095,9709945.9606333375,920680.1806640625,11042777.652716581
2008-06-24,1.0880549331158962,1.0041304106409124,0.0,0.5410317103045541,9847555.3210556917,941133.57421875,10972409.767043481
2008-06-25,1.0965331079827223,1.0406664541159025,0.0,0.5545281491137293,10164746.621219141,979948.212890625,10785967.32554468
2008-06-26,1.1030186198565197,1.0395344421796247,0.0,0.5423285249572127,9982062.6828604024,983700.2709960938,11094609.443273898
2008-06-27,1.0921546400490771,0.9845745462100886,0.0,0.5199042996655746,9479119.3261628654,929286.6064453125,11434686.868373366
2008-06-30,1.096616530991284,0.9801575502688529,0.0,0.5602653543755431,10257154.329444397,1005055.224609375,10670121.065771913
2008-07-01,1.1009245831965835,0.9498905602384391,0.0,0.5507564165200729,10141290.482588958,971406.03515625,10905795.14618646
2008-07-02,1.1065636101115583,0.9499335480334876,0.0,0.5326363194842204,9832784.851039635,971856.03515625,11326631.316035286
2008-07-03,1.116441545661666,0.9684899462294332,0.0,0.551498003207108,10291350.930841314,993819.638671875,11043660.343720132
2008-07-04,1.1236384535460657,0.9564390343508306,0.0,0.5374878902980392,10083432.001752978,987066.03515625,11402271.034012089
2008-07-07,1.1294816825352023,1.000325990779118,0.0,0.5550497719237778,10455070.365590319,1037793.603515625,11096769.681598101
2008-07-08,1.1350778367353687,1.0084041139319861,0.0,0.5567660389175929,10540721.262550367,1044662.431640625,11116173.040516382
2008-07-09,1.1375075963220136,1.046233373574686,0.0,0.5712998698887781,10828829.161557058,1085446.7578125,10835876.007070715
2008-07-10,1.1410655454238332,1.0300771272689495,0.0,0.5237587139562702,9974117.7806047741,981330.8935546875,11865862.234317206
2008-07-11,1.139199608395689,1.0233352080788398,0.0,0.5619519289739661,10672953.044078985,1063260.0,11047779.123834793
2008-07-14,1.149582049126451,1.031083758136336,0.0,0.5725935820842017,10994138.932720663,1071313.2421875,10926188.807620859
2008-07-15,1.1586680583338491,0.9956868912301315,0.0,0.536972911723792,10378540.388298946,1027072.79296875,11767747.98540929
2008-07-16,1.1496885738988383,0.9693282082328792,0.0,0.5142514115150131,9851057.639497228,988416.03515625,12154297.803323288
2008-07-17,1.1468598713677185,0.9617731032531015,0.0,0.5443479645078784,10387063.094941398,1060047.3266601562,11490087.005752815
2008-07-18,1.1463343143621578,0.995300001074695,0.0,0.5671368053572277,10822307.485098924,1098029.384765625,11006349.417378608
2008-07-21,1.1533250982817569,1.0250511375645266,0.0,0.5535528409133165,10655045.159483457,1047978.017578125,11363478.788573554
2008-07-22,1.1576505404356792,1.01957019369584,0.0,0.5465642829072225,10553547.593930304,1045706.396484375,11553756.818298902
2008-07-23,1.159882984895718,1.016607618153746,0.0,0.536377209429978,10367909.772240177,1037995.224609375,11791754.701064806
2008-07-24,1.1599174082065662,1.0425579170980372,0.0,0.5515340042300362,10657116.559830895,1071849.638671875,11469381.965628555
2008-07-25,1.161892309798186,1.0263694299460144,0.0,0.5541688608914637,10745071.612333065,1058111.982421875,11434662.60120878
2008-07-28,1.1676663030046852,1.0399499908650938,0.0,0.5512952569366072,10735156.232243158,1065906.03515625,11552263.792694297
2008-07-29,1.1650143293193091,1.021071184206284,0.0,0.54300423939287,10551025.125149108,1046026.7578125,11703234.703424575
2008-07-30,1.1661715017074634,1.0161849048357687,0.0,0.5293132891338822,10279113.370406386,1038376.7578125,12005939.905930379
2008-07-31,1.1595732269513437,0.9943506872673733,0.0,0.5163732786018649,9968706.3578715399,1009875.5859375,12212882.595217835
2008-08-01,1.1582047705024812,1.0037005326904271,0.0,0.5773999161600506,11151853.30222881,1107908.115234375,10904333.992586439
2008-08-04,1.1568200248476364,0.9821779766361334,0.0,0.5187686841451723,10003732.797105569,998333.96484375,12134333.73500341
2008-08-05,1.1524429149594357,0.9639117460567654,0.0,0.5449369344132722,10459975.411651868,1054201.23046875,11534681.657068096
2008-08-06,1.1481427765484644,0.974164335175838,0.0,0.5474807916957425,10463875.680492353,1061459.0771484375,11437520.773328498
2008-08-07,1.152482093564324,0.9771054168204077,0.0,0.5557777976371489,10681370.562181976,1060971.5771484375,11307299.731956067
2008-08-08,1.1389561216280957,0.9334513109486332,0.0,0.5195937292468205,9841108.8990355656,1010669.384765625,11927344.148760719
2008-08-11,1.1216714943309072,0.8848571909625327,0.0,0.4996706436082333,9319245.8426682744,958155.9228515625,12156028.121098306
2008-08-12,1.114955539731276,0.8802467499435785,0.0,0.554983426765875,10317354.326861136,1026547.1630859375,10955209.304678448
2008-08-13,1.1124971880322423,0.8763420252266712,0.0,0.5568097632650618,10329295.046216451,1026761.3671875,10893887.347240897
2008-08-14,1.1142249503311632,0.873039129640443,0.0,0.5571170281411776,10353454.232803104,1026274.2041015625,10904770.569718597
2008-08-15,1.1111074776988479,0.877886003532164,0.0,0.5531646378431493,10240460.782639286,1028000.44921875,10953688.322118921
2008-08-18,1.096782355979891,0.8310508008267986,0.0,0.5176766176594447,9439948.770963788,971627.958984375,11524070.389649661
2008-08-19,1.0962793043891612,0.8398632988117457,0.0,0.5481426940244186,10029084.035024088,986357.3876953125,10910144.665063823
2008-08-20,1.0986774860320556,0.9039186957502984,0.0,0.5858133711859435,10735058.603072811,1063834.775390625,10174656.342177678
